time,n_pixels,soil_moisture_mean,soil_moisture_std,source_file
2017-01-04,85,0.20902281421072344,0.03323747700190656,SMAP_L3_SM_P_E_20170104_R19240_001.h5
2017-01-10,48,0.14178146670262018,0.009473581662341713,SMAP_L3_SM_P_E_20170110_R19240_001.h5
2017-01-28,65,0.15174160427772082,0.01609792475955685,SMAP_L3_SM_P_E_20170128_R19240_001.h5
2017-02-03,19,0.18806461911452443,0.01510458978074536,SMAP_L3_SM_P_E_20170203_R19240_001.h5
2017-02-09,0,,,SMAP_L3_SM_P_E_20170209_R19240_001.h5
2017-02-15,0,,,SMAP_L3_SM_P_E_20170215_R19240_001.h5
2017-02-21,85,0.2524376089082045,0.03640842021126786,SMAP_L3_SM_P_E_20170221_R19240_001.h5
2017-02-27,47,0.24671080264639347,0.0251752762454965,SMAP_L3_SM_P_E_20170227_R19240_001.h5
2017-03-05,0,,,SMAP_L3_SM_P_E_20170305_R19240_001.h5
2017-03-11,81,0.23169336605955054,0.031222649096333033,SMAP_L3_SM_P_E_20170311_R19240_001.h5
2017-03-17,85,0.18560830635182998,0.02741977296341385,SMAP_L3_SM_P_E_20170317_R19240_001.h5
2017-03-23,50,0.16626099810004236,0.027488997199877435,SMAP_L3_SM_P_E_20170323_R19240_001.h5
2017-03-29,0,,,SMAP_L3_SM_P_E_20170329_R19240_001.h5
2017-04-04,73,0.15400478897029407,0.01767205793971887,SMAP_L3_SM_P_E_20170404_R19240_001.h5
2017-04-10,80,0.15605830252170563,0.016453798778795603,SMAP_L3_SM_P_E_20170410_R19240_001.h5
2017-04-16,49,0.17543112045648146,0.04021155597482376,SMAP_L3_SM_P_E_20170416_R19240_001.h5
2017-04-28,56,0.27882384109709946,0.02069651809498897,SMAP_L3_SM_P_E_20170428_R19240_001.h5
2017-05-04,75,0.24034795502821604,0.03058775589612492,SMAP_L3_SM_P_E_20170504_R19240_001.h5
2017-05-10,46,0.2246256784900375,0.019652970022031865,SMAP_L3_SM_P_E_20170510_R19240_001.h5
2017-05-16,0,,,SMAP_L3_SM_P_E_20170516_R19240_001.h5
2017-05-22,58,0.19345744159714928,0.015112623907967452,SMAP_L3_SM_P_E_20170522_R19240_001.h5
2017-05-28,76,0.15078384566463923,0.01918292281499719,SMAP_L3_SM_P_E_20170528_R19240_001.h5
2017-06-03,47,0.1530163880992443,0.01820142418698136,SMAP_L3_SM_P_E_20170603_R19240_001.h5
2017-06-09,0,,,SMAP_L3_SM_P_E_20170609_R19240_001.h5
